Blue,Green,Red,NIR,SWIR-1,SWIR-2,Landcover
0.03955,0.06225,0.04175,0.2476,0.16435,0.07795,10
0.0536,0.0698,0.0517,0.2424,0.1696,0.0929,10
0.05015,0.06675,0.0528,0.2277,0.1856,0.1191,10
0.0438,0.06345,0.04905,0.1902,0.16385,0.09025,10
0.0551,0.077,0.05905,0.2892,0.2035,0.123,10
0.055,0.0698,0.0717,0.1874,0.1882,0.1399,10
0.08855,0.1006,0.0713,0.3248,0.2006,0.0991,10
0.04195,0.06005,0.04805,0.231,0.181,0.0959,10
0.0497,0.07,0.051,0.253,0.2065,0.1149,10
0.0551,0.0731,0.0634,0.206,0.1725,0.1015,10
0.0625,0.0725,0.0688,0.1578,0.1906,0.1434,10
0.0423,0.05835,0.0426,0.2792,0.188,0.09795,10
0.0691,0.0834,0.0788,0.211,0.1984,0.1232,10
0.0538,0.08095,0.0603,0.3149,0.194,0.10925,10
0.056,0.0771,0.0815,0.2358,0.2233,0.1363,10
0.0594,0.0825,0.0863,0.2164,0.2172,0.1416,10
0.0517,0.0732,0.0654,0.2424,0.1935,0.1156,10
0.0707,0.0867,0.0616,0.2542,0.1692,0.0831,10
0.0471,0.0733,0.0548,0.2426,0.187,0.1042,10
0.0477,0.0658,0.0527,0.2844,0.1817,0.0944,10
0.0473,0.0733,0.0519,0.2536,0.1567,0.0742,10
0.0425,0.0535,0.0487,0.2218,0.1212,0.0591,10
0.0522,0.073,0.0519,0.28,0.177,0.0919,10
0.049,0.06525,0.04985,0.2429,0.1896,0.1019,10
0.0619,0.0805,0.089,0.222,0.2357,0.1681,10
0.0454,0.0698,0.0619,0.221,0.1725,0.0978,10
0.03835,0.0539,0.04035,0.2219,0.16855,0.0796,10
0.0635,0.0829,0.08645,0.187,0.2062,0.14845,10
0.0405,0.0647,0.0461,0.2294,0.157,0.0757,10
0.0669,0.0917,0.0858,0.2466,0.23,0.1431,10
0.0469,0.0648,0.05255,0.2547,0.16775,0.0886,10
0.0522,0.07,0.0551,0.2112,0.1704,0.1089,10
0.0494,0.0726,0.0476,0.2386,0.1544,0.0785,10
0.0614,0.0802,0.0843,0.2394,0.2735,0.1705,10
0.0437,0.0642,0.0645,0.2286,0.1719,0.1113,10
0.0544,0.0698,0.0603,0.2652,0.1932,0.1217,10
0.0643,0.085,0.0778,0.2546,0.2113,0.1663,10
0.04675,0.06215,0.0499,0.2301,0.1458,0.07095,10
0.0412,0.0578,0.0391,0.2458,0.1699,0.076,10
0.0434,0.07025,0.04955,0.28,0.2004,0.1023,10
0.0584,0.0859,0.0841,0.2872,0.2371,0.1482,10
0.042,0.0577,0.0498,0.1938,0.1816,0.1057,10
0.0433,0.0578,0.0354,0.269,0.1578,0.073,10
0.0496,0.06895,0.05125,0.2286,0.1806,0.1001,10
0.0626,0.0817,0.0806,0.1888,0.1663,0.1408,10
0.044,0.0591,0.0463,0.228,0.1541,0.0845,10
0.0644,0.0782,0.0747,0.1758,0.1559,0.1034,10
0.0435,0.07015,0.0521,0.226,0.1695,0.09005,10
0.0515,0.0682,0.0516,0.2114,0.1375,0.0738,10
0.0401,0.0618,0.05,0.2164,0.1833,0.0997,10
0.0585,0.0814,0.0756,0.2058,0.1907,0.1174,10
0.0412,0.0618,0.0434,0.245,0.1716,0.0835,10
0.05005,0.06985,0.0578,0.2501,0.1619,0.0849,10
0.0769,0.0906,0.091,0.2303,0.18085,0.11045,10
0.0533,0.074,0.0545,0.2586,0.1746,0.0928,10
0.0588,0.0828,0.07895,0.2015,0.2182,0.14475,10
0.0484,0.0661,0.0487,0.2086,0.1631,0.0957,10
0.0473,0.0681,0.0532,0.2686,0.2044,0.114,10
0.0427,0.0619,0.04085,0.2115,0.15475,0.0795,10
0.0574,0.075,0.0698,0.2018,0.1959,0.1353,10
0.0627,0.08135,0.08055,0.2102,0.1924,0.13025,10
0.0455,0.0572,0.0481,0.219,0.16795,0.10655,10
0.09815,0.114,0.1231,0.2035,0.21095,0.1702,10
0.0425,0.0583,0.0517,0.2116,0.1779,0.0912,10
0.06095,0.08005,0.07765,0.2222,0.19565,0.1143,10
0.0457,0.065,0.048,0.1888,0.172,0.1101,10
0.0511,0.0714,0.0594,0.227,0.1825,0.1049,10
0.0543,0.076,0.076,0.2476,0.1892,0.1167,10
0.0907,0.1012,0.0734,0.3416,0.2125,0.1092,10
0.0479,0.0683,0.0585,0.2498,0.2025,0.1212,10
0.0442,0.0643,0.04575,0.2335,0.1634,0.0871,10
0.0745,0.0948,0.0955,0.191,0.1897,0.1541,10
